Record number,Number of inquiries in the past three months,Age of the most recent inquiry,Number of derogatory public records,Age of the most recent derogatory public record,Bankruptcy on file,Subject’s age,Subject’s average income in last 5 years,Credit Score,Education,Number of bank accounts opened in last 5 years,Number of bank accounts closed in last 5 years,Marital_status,Gendre,Head of household,Housing  type
1,0,12,2,3,FALSE,63,49,730,BS,0,1,Single,Male,FALSE,Owner
2,10,10,11,4,TRUE,NaN,250,730,BS,1,0,Separated,Male,TRUE,Owner
3,3,12,2,1,TRUE,63,125,500,PhD,1,3,Widowed,Female,TRUE,Owner
4,8,12,2,4,TRUE,20,125,620,MS,1,1,Divorced,Female,FALSE,Rental
5,1,14,2,3,TRUE,30,250,850,None,3,0,Divorced,Female,FALSE,Rental
6,7,6,2,6,TRUE,70,75,670,HS,5,1,Single,Female,TRUE,Rental
7,0,15,0,1,TRUE,50,250,730,BS,3,0,Married,Female,TRUE,Rental
8,3,9,0,3,FALSE,24,250,NaN,HS,1,2,Single,Male,TRUE,Rental
9,5,10,5,6,FALSE,65,75,810,BS,6,1,Separated,Female,FALSE,Rental
10,1,7,0,3,FALSE,20,49,670,BS,6,1,Widowed,Male,TRUE,Owner
11,2,6,1,1,FALSE,66,250,670,None,3,3,Separated,Male,FALSE,Rental
12,1,14,0,3,TRUE,NaN,125,730,HS,6,1,Widowed,Female,FALSE,Owner
13,2,14,2,3,TRUE,37,250,660,HS,1,1,Single,Male,FALSE,Rental
14,3,13,11,6,FALSE,NaN,310,600,BS,5,0,Divorced,Male,TRUE,Owner
15,10,6,11,6,FALSE,24,49,NaN,BS,1,3,Separated,Male,FALSE,Owner
16,1,10,2,1,TRUE,77,125,810,MS,6,0,Single,Female,FALSE,Owner
17,0,11,0,1,FALSE,37,75,730,PhD,2,2,Separated,Male,FALSE,Rental
18,5,1,1,1,FALSE,57,75,500,HS,2,1,Married,Female,TRUE,Rental
19,9,14,11,3,TRUE,56,175,300,BS,3,2,Married,Female,TRUE,Rental
20,5,13,2,6,TRUE,24,125,800,None,3,2,Separated,Female,FALSE,Rental
21,9,1,11,3,TRUE,65,125,810,MS,5,1,Single,Female,FALSE,Rental
22,0,10,0,4,FALSE,60,49,660,BS,5,2,Single,Female,FALSE,Rental
23,9,11,5,3,TRUE,37,310,660,PhD,6,2,Separated,Male,FALSE,Owner
24,10,10,2,4,TRUE,56,75,500,MS,5,2,Separated,Male,FALSE,Owner
25,9,4,2,4,TRUE,48,49,500,None,2,2,Single,Male,TRUE,Rental
26,1,6,5,3,TRUE,22,310,660,MS,3,0,Divorced,Female,TRUE,Owner
27,2,13,5,3,TRUE,50,125,850,BS,0,3,Married,Male,TRUE,Owner
28,9,1,1,3,FALSE,57,250,760,HS,0,3,Married,Female,FALSE,Owner
29,10,9,1,1,FALSE,35,75,NaN,HS,3,2,Widowed,Male,TRUE,Owner
30,1,6,0,6,FALSE,48,310,850,None,2,1,Single,Male,FALSE,Owner
31,7,6,5,3,FALSE,44,49,620,PhD,6,1,Widowed,Female,TRUE,Owner
32,4,6,11,3,TRUE,40,310,NaN,BS,5,2,Widowed,Male,TRUE,Rental
33,9,2,1,3,TRUE,77,125,300,BS,5,2,Single,Female,FALSE,Owner
34,10,6,2,1,FALSE,30,125,800,None,2,1,Single,Male,TRUE,Owner
35,4,7,5,3,FALSE,20,250,800,HS,6,2,Separated,Male,TRUE,Rental
36,3,6,11,6,TRUE,50,250,600,HS,1,1,Widowed,Male,TRUE,Rental
37,6,4,11,6,FALSE,70,310,500,BS,4,0,Single,Male,FALSE,Owner
38,4,15,5,4,FALSE,NaN,175,NaN,MS,5,3,Separated,Male,TRUE,Rental
39,7,12,0,6,FALSE,35,175,300,PhD,4,3,Widowed,Female,TRUE,Rental
40,5,3,0,3,FALSE,57,49,850,MS,0,3,Divorced,Male,TRUE,Owner
41,6,3,1,6,FALSE,66,250,810,PhD,3,3,Married,Female,TRUE,Rental
42,7,14,11,1,TRUE,24,175,620,BS,5,2,Widowed,Male,FALSE,Owner
43,3,2,5,1,FALSE,48,310,NaN,BS,1,3,Separated,Female,TRUE,Owner
44,4,14,0,4,FALSE,44,49,760,BS,3,2,Widowed,Female,FALSE,Owner
45,10,1,11,4,TRUE,70,49,NaN,MS,4,2,Separated,Male,FALSE,Rental
46,0,15,5,6,FALSE,37,49,600,PhD,0,1,Separated,Male,TRUE,Rental
47,8,12,5,1,TRUE,66,49,850,PhD,1,1,Widowed,Female,FALSE,Rental
48,10,2,11,1,FALSE,77,49,600,PhD,4,1,Widowed,Female,TRUE,Rental
49,6,7,11,4,TRUE,50,310,670,HS,3,1,Single,Female,FALSE,Rental
50,0,8,0,6,FALSE,50,75,730,MS,1,1,Widowed,Female,TRUE,Rental
51,3,15,11,3,FALSE,22,250,800,HS,1,3,Divorced,Male,FALSE,Owner
52,0,10,5,4,FALSE,60,175,660,BS,6,3,Divorced,Female,FALSE,Owner
53,3,14,1,4,FALSE,40,125,500,PhD,2,0,Single,Female,FALSE,Rental
54,4,3,11,1,TRUE,37,49,660,PhD,4,1,Divorced,Female,TRUE,Owner
55,3,5,11,3,TRUE,66,75,810,None,2,3,Separated,Female,FALSE,Owner
56,1,5,0,1,TRUE,35,75,670,None,1,3,Separated,Female,FALSE,Owner
57,5,10,11,4,FALSE,77,310,NaN,None,3,3,Divorced,Male,FALSE,Rental
58,5,2,11,6,FALSE,48,310,500,HS,5,2,Divorced,Female,FALSE,Owner
59,4,10,11,1,FALSE,50,75,810,HS,1,0,Separated,Male,FALSE,Rental
60,1,3,1,1,FALSE,48,310,730,None,2,0,Divorced,Female,TRUE,Rental
61,1,10,5,6,TRUE,50,125,760,PhD,3,2,Single,Female,TRUE,Owner
62,4,15,1,1,TRUE,22,250,600,HS,0,2,Married,Female,FALSE,Owner
63,3,15,1,3,FALSE,56,75,660,HS,5,3,Widowed,Male,TRUE,Rental
64,2,12,5,4,FALSE,63,250,NaN,MS,1,0,Married,Female,FALSE,Owner
65,0,13,11,3,TRUE,70,175,300,None,5,1,Single,Female,FALSE,Owner
66,4,5,5,6,FALSE,NaN,310,760,BS,6,3,Separated,Female,FALSE,Owner
67,7,14,11,4,FALSE,65,250,850,PhD,1,3,Married,Male,FALSE,Owner
68,3,11,0,3,FALSE,44,250,670,MS,1,1,Separated,Male,TRUE,Rental
69,3,2,5,1,TRUE,70,310,760,PhD,5,3,Single,Male,TRUE,Owner
70,0,1,1,1,TRUE,37,175,NaN,None,5,0,Divorced,Male,TRUE,Rental
71,6,10,11,4,TRUE,65,310,NaN,MS,0,1,Married,Female,FALSE,Owner
72,6,6,5,3,TRUE,56,75,620,MS,0,3,Widowed,Female,FALSE,Owner
73,7,14,2,6,FALSE,37,125,670,None,3,0,Divorced,Male,FALSE,Owner
74,4,5,2,4,TRUE,66,75,600,None,2,0,Single,Female,FALSE,Owner
75,0,3,5,4,FALSE,35,250,670,MS,2,0,Married,Female,FALSE,Rental
76,3,11,11,6,FALSE,30,175,300,PhD,2,0,Single,Female,TRUE,Owner
77,7,15,11,1,TRUE,44,75,500,None,3,1,Separated,Male,FALSE,Owner
78,7,1,5,6,TRUE,63,75,300,BS,3,2,Married,Female,TRUE,Owner
79,5,6,5,3,TRUE,30,250,670,BS,0,2,Widowed,Female,TRUE,Owner
80,2,12,0,1,FALSE,57,175,600,PhD,1,2,Married,Female,FALSE,Rental
81,1,1,2,4,FALSE,24,250,760,MS,4,2,Single,Female,FALSE,Owner
82,6,7,2,3,TRUE,65,75,660,BS,6,0,Separated,Female,FALSE,Rental
83,9,2,11,3,TRUE,NaN,175,850,PhD,6,2,Married,Male,TRUE,Rental
84,10,5,2,3,FALSE,77,49,620,HS,4,1,Widowed,Male,FALSE,Owner
85,0,7,11,3,TRUE,65,125,810,BS,4,1,Single,Male,TRUE,Owner
86,6,11,1,3,TRUE,22,250,730,HS,3,0,Divorced,Male,FALSE,Rental
87,7,8,11,1,FALSE,20,75,600,BS,2,2,Single,Male,TRUE,Owner
88,5,1,1,4,TRUE,56,75,620,HS,2,0,Single,Female,TRUE,Owner
89,5,10,11,6,FALSE,40,175,NaN,PhD,2,1,Single,Female,TRUE,Owner
90,9,12,0,6,FALSE,22,310,670,PhD,4,2,Separated,Female,FALSE,Owner
91,6,14,11,1,TRUE,44,75,730,MS,1,1,Separated,Male,FALSE,Rental
92,3,9,5,1,TRUE,22,49,300,HS,0,1,Divorced,Female,FALSE,Owner
93,8,12,2,3,TRUE,48,125,300,PhD,6,3,Separated,Female,FALSE,Rental
94,5,8,11,4,FALSE,44,125,810,HS,3,3,Single,Female,TRUE,Owner
95,8,12,5,6,FALSE,48,49,670,BS,6,0,Single,Female,TRUE,Rental
96,3,8,5,1,FALSE,60,49,730,PhD,5,3,Widowed,Female,TRUE,Rental
97,10,2,0,1,TRUE,35,125,760,MS,3,0,Married,Male,TRUE,Owner
98,8,3,5,3,TRUE,48,49,300,BS,2,3,Married,Female,FALSE,Owner
99,5,6,2,1,TRUE,40,75,850,BS,5,3,Single,Male,TRUE,Owner
100,3,13,2,6,FALSE,60,310,850,MS,1,1,Separated,Male,FALSE,Owner
101,6,3,2,4,TRUE,20,49,670,None,6,0,Widowed,Male,FALSE,Owner
102,6,6,5,6,TRUE,40,310,760,BS,5,0,Single,Male,FALSE,Rental
103,4,11,5,4,TRUE,67,250,620,BS,0,0,Widowed,Female,FALSE,Rental
104,8,15,11,3,TRUE,40,175,600,MS,3,3,Divorced,Male,FALSE,Owner
105,6,10,11,4,TRUE,NaN,49,300,PhD,0,2,Divorced,Male,TRUE,Owner
106,8,1,0,6,FALSE,37,310,660,BS,6,2,Widowed,Male,TRUE,Owner
107,2,2,0,6,TRUE,57,49,810,HS,0,3,Single,Male,TRUE,Rental
108,3,3,1,6,FALSE,20,75,660,BS,3,3,Widowed,Female,TRUE,Rental
109,7,8,1,6,TRUE,63,75,300,HS,3,1,Single,Male,TRUE,Rental
110,3,13,2,6,FALSE,77,310,850,PhD,1,1,Married,Male,TRUE,Owner
111,9,3,2,4,TRUE,70,49,850,PhD,2,0,Divorced,Male,FALSE,Rental
112,2,2,5,1,FALSE,66,75,600,None,5,2,Separated,Male,FALSE,Rental
113,7,10,2,3,TRUE,57,250,850,PhD,5,0,Separated,Male,FALSE,Rental
114,10,10,11,6,FALSE,65,75,850,MS,0,3,Widowed,Male,FALSE,Owner
115,8,11,11,1,FALSE,48,175,760,HS,4,1,Married,Female,FALSE,Owner
116,3,15,0,3,TRUE,70,250,660,PhD,2,1,Widowed,Female,FALSE,Owner
